temperature_2m_min,temperature_2m_mean,shortwave_radiation_sum,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant
-4.5,-0.5,1.4,5.4,11.0,19.8,33.8,174
-8.8,-3.1,2.5,1.5,6.0,26.3,48.2,128
-9.5,-2.5,1.15,12.3,20.0,23.6,47.5,233
-3.9,-2.0,2.61,1.0,5.0,24.2,45.7,149
-1.8,2.1,1.22,3.8,11.0,27.5,49.7,254
1.3,2.4,1.18,2.5,8.0,17.6,30.6,218
-6.3,-1.3,2.96,1.4,9.0,25.5,46.4,178
-10.3,-7.1,4.85,0.0,0.0,14.1,25.2,248
-7.0,-3.3,1.2,3.9,9.0,18.4,34.9,322
-1.1,0.0,0.88,0.2,2.0,14.8,26.3,313
-6.9,-3.7,1.47,0.3,3.0,20.7,39.2,101
-14.2,-10.4,3.56,0.0,0.0,21.3,40.0,106
-15.5,-12.4,4.14,0.6,6.0,19.8,37.4,167
-5.5,0.1,1.22,1.9,15.0,32.4,82.1,216
-3.2,-1.2,4.06,1.9,12.0,29.7,65.5,139
-3.4,-1.8,3.92,0.7,5.0,23.5,47.2,140
-2.6,-1.3,2.47,1.7,12.0,27.8,49.0,230
-4.7,-2.2,2.81,4.4,20.0,21.3,38.9,173
-11.3,-7.0,3.23,2.0,8.0,23.5,47.2,110
-14.9,-9.1,4.06,0.0,0.0,20.9,36.4,259
-5.0,-2.7,4.2,2.6,11.0,21.9,39.2,237
-7.2,-4.3,3.62,0.7,6.0,19.5,33.8,238
-12.0,-7.7,4.16,0.0,0.0,20.5,36.4,24
-7.9,-5.9,2.94,2.0,13.0,25.6,45.7,55
-9.4,-8.5,3.31,0.1,1.0,12.4,20.9,86
-9.4,-7.8,3.68,1.3,12.0,10.5,19.1,201
-12.3,-8.6,4.17,0.0,0.0,10.7,19.1,192
-9.0,-3.9,3.55,2.4,14.0,24.0,43.9,259
-1.2,-0.1,3.9,2.3,16.0,18.5,35.3,205
-3.6,-1.9,4.49,0.6,6.0,27.4,48.2,235
-1.9,-0.7,3.73,2.4,16.0,26.7,47.5,236
-5.1,-2.2,6.03,0.5,5.0,24.1,42.8,217
-7.8,-3.3,6.07,1.2,10.0,9.2,19.4,335
-1.9,-0.5,3.55,1.0,10.0,9.3,14.8,61
-4.5,-2.5,3.84,0.7,7.0,16.9,30.2,131
-10.1,-6.8,4.51,0.1,1.0,15.3,25.9,162
-5.5,-1.4,4.22,1.9,9.0,19.4,34.2,201
-4.8,-0.9,5.19,1.5,7.0,21.8,34.2,262
0.4,1.3,2.48,3.5,16.0,16.6,31.3,9
-3.6,-1.0,5.97,0.1,1.0,15.8,28.1,147
-1.5,1.1,2.83,1.8,5.0,19.3,37.1,183
0.4,2.3,4.33,1.1,6.0,19.1,34.6,202
-1.9,0.0,3.32,3.8,10.0,20.3,37.1,126
-8.3,-4.3,9.44,0.0,0.0,14.1,26.3,177
-11.9,-6.1,9.98,0.0,0.0,13.7,23.8,221
-8.7,-3.8,10.07,0.0,0.0,13.5,22.0,282
-9.4,-2.5,6.16,0.8,5.0,18.9,33.8,282
0.9,2.9,5.71,0.3,2.0,29.9,56.2,266
-1.6,3.1,3.33,2.2,9.0,28.3,51.1,220
-1.9,2.1,5.3,2.4,6.0,30.3,52.2,231
-0.1,2.6,7.05,0.0,0.0,27.8,50.0,196
-1.9,2.5,8.87,0.0,0.0,23.8,45.7,232
2.6,5.0,4.04,0.1,1.0,23.3,44.3,239
-1.4,2.8,9.4,0.1,1.0,18.3,37.1,162
-2.4,1.0,7.58,0.1,1.0,11.3,23.4,37
-1.6,-0.3,1.57,8.9,12.0,14.5,27.4,26
-0.6,0.8,5.47,0.1,1.0,20.5,38.5,86
-2.2,0.4,9.64,0.0,0.0,21.1,41.4,87
-4.7,-1.0,5.54,0.0,0.0,16.3,33.1,80
0.0,1.5,5.05,0.2,2.0,20.3,39.2,35
0.5,1.6,3.92,1.9,9.0,18.8,33.8,357
-0.2,1.6,5.19,2.7,12.0,19.8,36.4,47
0.1,0.6,3.69,9.0,24.0,21.3,36.7,112
-2.1,-1.3,5.17,6.6,18.0,20.7,35.6,95
-7.5,-3.7,12.74,0.0,0.0,12.5,23.4,129
-7.7,-3.7,10.72,0.6,6.0,14.1,25.9,194
-9.7,-5.3,12.05,0.7,7.0,12.5,21.2,117
-10.5,-5.9,8.55,1.8,10.0,23.6,42.1,57
-11.0,-8.9,11.2,1.7,13.0,25.8,47.5,68
-12.6,-8.6,11.48,1.0,10.0,21.7,40.7,54
-21.2,-10.6,15.69,0.0,0.0,12.6,19.1,134
-10.9,-5.3,14.3,0.0,0.0,10.4,15.8,179
-14.1,-4.2,9.9,0.0,0.0,20.0,37.1,156
-8.4,-2.6,13.93,0.0,0.0,19.0,33.8,79
-11.5,-7.0,12.63,0.0,0.0,17.8,36.4,65
-10.6,-7.3,11.79,0.1,1.0,26.0,47.5,62
-9.8,-5.5,12.05,0.0,0.0,18.7,37.1,43
-9.7,-4.7,17.29,0.0,0.0,11.4,25.2,62
-7.7,-2.7,17.41,0.0,0.0,12.3,27.4,82
-7.9,0.6,16.83,0.0,0.0,18.4,36.4,97
-1.7,3.3,17.24,0.0,0.0,14.8,27.7,23
-3.3,3.6,17.46,0.0,0.0,10.7,23.4,207
-2.6,4.1,17.92,0.0,0.0,19.1,39.2,268
-3.0,3.7,18.1,0.0,0.0,11.6,19.8,284
-1.1,6.4,16.24,1.6,3.0,28.4,57.6,203
-1.6,2.2,15.67,2.0,10.0,36.0,69.8,142
-3.9,1.6,17.94,0.0,0.0,30.3,58.0,190
4.4,9.5,18.16,0.2,2.0,30.5,54.0,214
3.5,8.5,9.94,6.8,9.0,12.4,27.7,224
2.9,10.2,14.09,0.3,1.0,25.0,55.4,273
8.2,13.4,13.61,3.0,7.0,25.0,52.6,263
9.2,13.8,16.48,2.0,7.0,34.1,61.9,251
1.5,6.2,8.44,2.7,5.0,21.9,41.4,186
0.6,2.9,12.86,1.9,10.0,22.1,43.2,167
0.7,4.6,12.47,0.7,3.0,28.5,55.4,237
4.6,8.4,12.46,0.7,4.0,28.7,51.8,213
6.0,10.9,19.07,0.0,0.0,22.0,45.0,255
5.5,11.2,17.6,3.2,4.0,20.9,41.4,298
3.8,11.1,16.95,0.2,1.0,20.3,37.1,257
10.1,13.3,13.15,2.0,6.0,19.9,40.0,272
7.8,13.0,16.65,8.5,7.0,20.6,43.9,207
6.1,10.3,6.86,12.7,20.0,14.6,30.6,116
5.9,11.5,10.36,6.1,11.0,28.8,58.3,73
8.7,11.1,11.47,0.2,2.0,25.8,47.2,89
5.0,10.7,21.55,0.0,0.0,13.7,24.8,181
6.6,11.6,16.96,3.7,8.0,24.0,46.8,235
6.8,9.7,8.72,9.6,14.0,13.6,27.0,133
5.9,9.2,4.35,7.5,15.0,14.8,28.1,51
7.5,12.4,13.53,5.7,6.0,21.3,38.2,332
6.3,9.0,4.81,1.2,9.0,15.5,27.7,228
4.4,7.8,14.65,0.4,4.0,21.8,39.2,267
5.0,9.7,18.56,0.2,2.0,8.0,23.4,132
3.6,10.8,15.56,1.6,4.0,16.9,34.9,278
9.4,12.6,12.59,7.6,14.0,21.5,42.8,286
8.8,13.7,22.17,0.0,0.0,9.2,19.8,239
9.6,15.0,20.54,0.0,0.0,20.1,43.9,227
8.8,12.3,15.92,0.1,1.0,19.0,37.8,151
4.8,11.5,20.35,0.0,0.0,10.8,22.3,125
6.3,10.8,17.47,0.0,0.0,14.0,28.8,95
5.6,10.9,20.14,0.0,0.0,11.0,26.6,59
5.7,10.2,20.12,0.4,3.0,11.8,27.4,33
6.2,11.0,19.58,0.0,0.0,8.8,22.7,322
4.4,12.0,22.87,0.0,0.0,11.6,24.8,249
7.3,12.8,21.49,2.5,7.0,20.5,38.2,210
5.3,9.4,26.27,0.0,0.0,21.2,43.6,59
4.0,10.1,26.03,0.0,0.0,15.1,33.5,9
3.3,10.8,26.17,0.0,0.0,14.5,32.4,329
4.3,12.4,24.51,0.0,0.0,9.9,19.8,260
7.5,11.9,18.22,4.1,6.0,23.0,43.9,121
4.1,8.5,22.49,0.3,3.0,24.2,50.8,120
4.6,11.0,23.46,0.0,0.0,26.7,53.3,147
7.5,16.4,22.49,0.0,0.0,22.8,40.7,201
12.5,17.3,23.24,0.0,0.0,24.1,47.9,163
9.8,14.6,18.89,3.6,6.0,17.8,32.0,214
9.4,13.5,18.31,0.7,6.0,24.9,50.4,160
9.3,13.3,22.05,0.3,3.0,27.2,51.8,156
7.2,12.1,23.52,1.0,8.0,24.4,49.0,155
6.1,11.4,20.65,0.5,4.0,18.1,32.0,100
7.8,13.3,18.53,0.0,0.0,21.7,42.8,96
9.0,15.0,19.98,0.0,0.0,21.5,42.5,134
12.4,16.8,12.83,6.6,11.0,14.8,40.7,250
10.7,13.9,11.5,1.8,10.0,32.4,58.0,171
6.5,12.2,22.94,0.0,0.0,16.5,33.8,102
5.4,13.2,19.49,0.0,0.0,16.1,31.3,144
5.9,15.0,20.91,0.0,0.0,17.1,36.4,151
10.6,15.1,16.05,3.8,6.0,32.6,61.6,225
10.8,16.5,22.88,0.0,0.0,34.1,63.0,189
12.8,17.0,13.68,0.7,4.0,24.0,44.3,191
10.4,12.5,7.14,5.6,12.0,9.0,15.5,49
9.3,17.8,22.9,0.0,0.0,18.4,35.6,229
16.4,22.0,24.43,2.2,4.0,24.0,29.2,232
16.4,21.7,24.44,3.6,3.0,10.9,31.3,30
17.0,23.1,23.28,1.7,6.0,13.7,31.0,321
17.1,21.1,20.29,7.6,9.0,14.9,34.2,120
14.9,19.4,24.82,0.0,0.0,17.0,34.6,66
14.7,19.0,19.65,0.2,1.0,17.4,34.9,71
12.5,18.5,25.8,0.0,0.0,16.7,37.8,82
11.4,19.5,21.7,0.0,0.0,11.0,27.0,84
13.4,20.9,20.66,0.0,0.0,14.1,25.6,54
13.8,21.8,28.8,0.0,0.0,12.4,28.8,8
13.8,22.9,28.81,0.0,0.0,10.6,27.0,20
15.6,24.5,26.81,0.0,0.0,15.3,31.0,44
18.4,24.0,22.64,3.4,8.0,16.9,25.9,39
17.5,22.3,22.48,1.8,5.0,7.5,18.4,58
16.6,23.5,22.49,0.0,0.0,17.1,33.1,263
15.6,19.2,18.59,2.7,8.0,18.9,40.3,109
13.1,18.9,23.57,0.0,0.0,11.1,27.4,137
15.8,20.7,23.43,0.0,0.0,8.9,24.1,156
15.1,20.0,19.09,2.1,6.0,12.1,30.2,310
13.5,21.2,22.62,0.0,0.0,13.5,27.0,149
16.5,24.3,28.41,0.0,0.0,19.9,41.4,205
18.9,25.9,28.09,0.0,0.0,21.9,43.9,207
14.9,18.8,20.96,4.8,8.0,18.6,40.0,165
13.1,19.1,21.83,0.4,4.0,16.8,28.8,63
16.7,18.3,7.53,4.2,10.0,21.2,39.6,51
16.1,20.3,16.15,0.1,1.0,17.7,41.0,31
16.1,22.7,20.72,0.1,1.0,23.3,46.1,41
18.9,24.5,28.92,0.0,0.0,20.4,41.4,40
16.2,25.1,23.95,0.5,2.0,16.5,34.6,61
20.1,24.7,27.9,0.0,0.0,15.1,34.9,39
17.7,22.5,23.38,0.0,0.0,13.5,23.8,26
14.9,22.2,27.46,0.0,0.0,23.1,43.9,94
13.2,19.1,29.14,0.0,0.0,18.8,40.0,79
14.8,22.0,25.8,0.0,0.0,16.1,34.6,116
18.9,24.9,23.34,0.2,1.0,11.5,24.1,122
18.8,25.9,23.91,0.0,0.0,8.7,22.7,89
19.7,27.0,25.82,0.0,0.0,12.3,26.6,322
21.2,27.2,23.94,0.0,0.0,16.6,30.2,271
19.2,26.8,26.7,0.0,0.0,13.7,28.8,353
20.8,26.9,25.39,0.0,0.0,12.3,30.2,14
20.9,24.3,15.92,1.6,11.0,17.6,38.2,353
17.5,20.2,6.01,17.0,15.0,15.8,27.7,236
16.4,19.4,21.13,0.3,3.0,21.0,38.5,225
13.2,19.9,24.35,0.9,4.0,19.2,39.6,255
14.7,18.0,16.16,3.4,19.0,22.1,41.4,199
14.6,22.1,25.96,0.0,0.0,15.4,30.2,219
18.4,20.8,15.94,2.4,14.0,12.1,32.0,94
14.9,19.5,18.43,1.5,3.0,17.1,32.8,128
13.7,17.0,18.62,3.4,12.0,21.3,42.1,150
13.0,18.6,20.89,0.1,1.0,12.6,25.2,153
14.4,19.1,20.2,5.5,9.0,19.2,37.4,170
12.6,16.4,9.71,0.9,7.0,24.2,43.9,146
14.1,17.1,14.58,3.6,8.0,22.3,45.4,112
14.6,19.8,20.67,0.4,3.0,18.9,42.5,88
16.8,22.5,21.59,0.1,1.0,12.6,28.8,108
17.1,20.1,11.83,8.8,9.0,11.6,24.5,146
16.4,19.6,13.73,2.1,11.0,11.4,26.3,104
16.5,22.4,23.35,0.0,0.0,8.5,17.6,88
17.1,23.1,21.93,1.1,3.0,15.6,28.4,136
17.6,21.7,25.66,0.0,0.0,16.2,34.2,99
14.5,21.1,21.38,0.0,0.0,10.1,22.7,76
15.2,22.3,24.93,0.0,0.0,16.3,34.6,32
18.3,23.7,20.62,0.2,2.0,17.5,35.6,7
19.6,22.5,14.24,7.5,15.0,17.3,40.0,5
18.4,22.0,15.33,4.5,12.0,14.6,28.8,9
19.0,21.8,14.43,14.6,13.0,14.3,32.4,357
18.7,22.8,20.39,0.7,5.0,20.9,48.6,354
19.3,24.5,23.3,0.0,0.0,16.7,33.1,19
18.2,24.6,23.97,0.0,0.0,10.9,23.4,35
16.5,24.5,21.99,0.0,0.0,13.3,24.1,51
17.5,24.6,22.44,0.0,0.0,13.7,23.8,81
18.2,25.0,20.98,0.6,1.0,17.3,31.7,69
21.6,26.2,21.43,0.1,1.0,23.9,46.4,37
22.7,26.5,16.81,0.3,1.0,22.7,41.4,17
23.0,26.6,18.3,0.0,0.0,27.0,47.5,12
22.7,26.4,18.28,0.6,4.0,26.8,49.7,12
22.9,27.2,17.05,0.1,1.0,28.9,55.4,12
23.9,26.0,12.47,0.8,5.0,29.5,53.3,2
21.6,26.1,19.4,0.2,2.0,19.6,36.0,23
20.6,25.2,20.19,0.0,0.0,15.0,27.4,42
19.8,22.8,18.64,6.1,11.0,16.6,33.5,31
18.1,22.1,16.01,1.9,5.0,23.8,40.7,358
17.2,22.3,20.34,0.4,1.0,25.0,45.4,348
20.0,24.6,21.92,0.0,0.0,28.6,53.6,347
20.2,25.5,21.94,0.0,0.0,25.5,49.7,359
19.7,25.0,22.05,0.0,0.0,25.4,52.2,2
20.1,25.5,21.22,0.0,0.0,25.6,52.9,7
21.1,25.6,16.22,0.0,0.0,27.6,52.2,4
20.5,25.2,17.96,0.1,1.0,25.8,49.0,359
20.8,25.1,15.54,0.7,5.0,16.1,31.0,327
